id,placename,municipality,province,population
599030,Mshazi Skhambane,eThekwini,KwaZulu-Natal,1333
583088,Muzi,Jozini,KwaZulu-Natal,5353
290042,Ndakeni B,Ngquza Hill,Eastern Cape,1905
294231,Ngcotyeni,King Sabata Dalindyebo,Eastern Cape,358
290143,Ngwenyeni,Ngquza Hill,Eastern Cape,1521
576093,Nkonyane,Msinga,KwaZulu-Natal,861
270022,Nqgaqeni,Mbhashe,Eastern Cape,208
297082,Ntshamathe A,Mbizana,Eastern Cape,1234
294469,Nzwakazi,King Sabata Dalindyebo,Eastern Cape,196
460005,Petrusburg,Letsemeng,Free State,8435
260081,Potsdam East,Buffalo City,Eastern Cape,1664
986013,Ramallane,Fetakgomo,Limpopo,64
274096,Runletts,Ngqushwa,Eastern Cape,495
660014,Selepe,Moretele,North West,211
960010,Sifasonke,Greater Giyani,Limpopo,2391
864002,Sivukile,Lekwa,Mpumalanga,5754
664090,Sun City,Moses Kotane,North West,1299
171002,Theewaterskloof NU,Theewaterskloof,Western Cape,34200
360090,Tsamaros,Joe Morolong,Northern Cape,405
467017,Tswelangpele,Matjhabeng,Free State,2150
877064,Utlha A,Bushbuckridge,Mpumalanga,880
260138,Welcomewood,Buffalo City,Eastern Cape,837
669036,Zeerust,Ramotshere Moiloa,North West,9093
270059,eLuxomo,Mbhashe,Eastern Cape,349
575127,eSigqumeni B,Nqutu,KwaZulu-Natal,456
276132,Allandale,Nkonkobe,Eastern Cape,414
962040,Babanana,Greater Tzaneen,Limpopo,1709
561016,Bazley Beach,Umdoni,KwaZulu-Natal,268
297349,Bhekiyeza,Mbizana,Eastern Cape,466
505009,Blose,Ezingoleni,KwaZulu-Natal,309
874056,Boschrand Heights,Mbombela,Mpumalanga,0
284071,Bula,Engcobo,Eastern Cape,391
766004,Carletonville,Merafong City,Gauteng,23000
270239,Cinaka,Mbhashe,Eastern Cape,323
526035,Curragh,Dannhauser,KwaZulu-Natal,2334
384005,Delportshoop,Dikgatlong,Northern Cape,4788
360014,Dinopeng,Joe Morolong,Northern Cape,3115
283001,Dordrecht,Emalahleni,Eastern Cape,2023
283195,Dwareni,Emalahleni,Eastern Cape,182
292281,Ekukhwezeni,Nyandeni,Eastern Cape,42
273116,Emangweni,Amahlathi,Eastern Cape,218
294459,Emthaleni,King Sabata Dalindyebo,Eastern Cape,750
276147,Esgangeni,Nkonkobe,Eastern Cape,256
529025,Ezidulini,Abaqulusi,KwaZulu-Natal,4080
177003,Formosa State Forest,George,Western Cape,0
970005,Ga-Mankodi,Aganang,Limpopo,475
667060,Ga-Tau,Mafikeng,North West,1026
986046,GaNkoana,Fetakgomo,Limpopo,1614
297206,Ganyile,Mbizana,Eastern Cape,944
598077,Gloveester,Umzimkhulu,KwaZulu-Natal,861
260169,Gqala,Buffalo City,Eastern Cape,651
293167,Gubini,Mhlontlo,Eastern Cape,237
968039,Ha-Rabali,Makhado,Limpopo,8774
175002,Hessequa NU,Hessequa,Western Cape,11586
384007,Holpan,Dikgatlong,Northern Cape,646
291185,Ingoje,Port St Johns,Eastern Cape,481
291025,Jambeni A,Port St Johns,Eastern Cape,1258
960037,KaDizingidzingi,Greater Giyani,Limpopo,3490
378008,Kanoneiland,Kai !Garib,Northern Cape,174
965125,Khakhu,Mutale,Limpopo,3105
274064,Kingslynn,Ngqushwa,Eastern Cape,200
599142,Kontinga,eThekwini,KwaZulu-Natal,796
282247,KuHange A,Intsika Yethu,Eastern Cape,622
283128,KuNdonga,Emalahleni,Eastern Cape,1088
282030,Kulo-Ngqayi,Intsika Yethu,Eastern Cape,317
295231,KwaBubesi,Matatiele,Eastern Cape,693
562029,KwaHlwemini,uMshwathi,KwaZulu-Natal,4349
294209,KwaMaradebe,King Sabata Dalindyebo,Eastern Cape,522
580050,KwaMshanelo,Nongoma,KwaZulu-Natal,1641
262004,KwaNojoli,Blue Crane Route,Eastern Cape,5206
505021,KwaShoba,Ezingoleni,KwaZulu-Natal,1993
588046,Kwahlaza,Ntambanana,KwaZulu-Natal,12
797024,Langaville,Ekurhuleni,Gauteng,54710
798032,Lenasia South,City of Johannesburg,Gauteng,37110
665014,Logageng,Ratlou,North West,3481
270286,Lubanzi,Mbhashe,Eastern Cape,346
297364,Luphithini B,Mbizana,Eastern Cape,1164
599070,Mabedlane E,eThekwini,KwaZulu-Natal,842
296125,Madadiyela,Umzimvubu,Eastern Cape,313
575045,Mafitleng A,Nqutu,KwaZulu-Natal,2009
987115,Magwareng,Greater Tubatse,Limpopo,1247
464006,Majemasweu,Masilonyana,Free State,9765
961104,Makhupe,Greater Letaba,Limpopo,338
576056,Malomeni,Msinga,KwaZulu-Natal,7039
968025,Mandiwana,Makhado,Limpopo,3208
284432,Manqoyi,Engcobo,Eastern Cape,193
674029,Mapitiki,Kagisano/Molopo,North West,103
669034,Marico-Bosveld Nature Reserve,Ramotshere Moiloa,North West,181
576050,Mashunka,Msinga,KwaZulu-Natal,2775
873003,Matibidi,Thaba Chweu,Mpumalanga,6476
270083,Matyamini,Mbhashe,Eastern Cape,304
291128,Mbabalani,Port St Johns,Eastern Cape,1353
284072,Mboleni B,Engcobo,Eastern Cape,223
276059,Mdeni A,Nkonkobe,Eastern Cape,60
286087,Mfanta,Elundini,Eastern Cape,246
293090,Mhlabamnyama,Mhlontlo,Eastern Cape,1213
294440,Mjikweni B,King Sabata Dalindyebo,Eastern Cape,266
286136,Mlamlankunzi,Elundini,Eastern Cape,144
580013,Mngxanyeni,Nongoma,KwaZulu-Natal,289
985081,Mohlala,Makhuduthamaga,Limpopo,665
468005,Monyakeng,Nala,Free State,25392
961026,Mothatsohle,Greater Letaba,Limpopo,1040
966153,Mphego,Thulamela,Limpopo,3003
270110,Mqe,Mbhashe,Eastern Cape,276
290145,Mthentu,Ngquza Hill,Eastern Cape,47
965091,Mukondeni,Mutale,Limpopo,466
672012,Myra,Greater Taung,North West,3238
286123,Ncembu,Elundini,Eastern Cape,1866
503087,Ndlovuzulu,Umzumbe,KwaZulu-Natal,716
874047,Newscom,Mbombela,Mpumalanga,8812
270606,Ngomana,Mbhashe,Eastern Cape,697
576041,Ngubevu,Msinga,KwaZulu-Natal,3466
582057,Nhlamvu,Umhlabuyalingana,KwaZulu-Natal,839
270651,Nkawukazi B,Mbhashe,Eastern Cape,141
290202,Nobadula,Ngquza Hill,Eastern Cape,408
566001,Northdale,The Msunduzi,KwaZulu-Natal,54822
287009,Ntaba-Kusuku,Senqu,Eastern Cape,253
283026,Ntlanjeni,Emalahleni,Eastern Cape,130
285020,Ntsukaze,Sakhisizwe,Eastern Cape,537
538034,Nyembe,uMhlathuze,KwaZulu-Natal,1398
571033,Olivia,Okhahlamba,KwaZulu-Natal,509
167024,Paradyskloof,Stellenbosch,Western Cape,1614
283072,Phesheya,Emalahleni,Eastern Cape,111
179009,Plettenberg Bay,Bitou,Western Cape,6475
284401,Qanguleni,Engcobo,Eastern Cape,588
294476,Qulu,King Sabata Dalindyebo,Eastern Cape,351
660058,Ratjiepane,Moretele,North West,4215
961009,Roerfontein,Greater Letaba,Limpopo,2144
282027,Samela,Intsika Yethu,Eastern Cape,234
180007,Sedgefield,Knysna,Western Cape,8286
976085,Seruleng,Lepele-Nkumpi,Limpopo,1317
296173,Shugabhushi,Umzimvubu,Eastern Cape,559
296197,Sijika,Umzimvubu,Eastern Cape,185
291044,Siphusiphu,Port St Johns,Eastern Cape,316
360087,Smauswane,Joe Morolong,Northern Cape,461
961004,Staseni,Greater Letaba,Limpopo,219
660015,Syferskuil,Moretele,North West,6269
977010,Thabazimbi,Thabazimbi,Limpopo,3517
506063,Thongasi,Hibiscus Coast,KwaZulu-Natal,2450
660021,Tlholwe,Moretele,North West,800
978014,Tshelamake,Lephalale,Limpopo,327
290219,Tshonya,Ngquza Hill,Eastern Cape,503
273104,Tyelimdaka,Amahlathi,Eastern Cape,127
273068,Upper Gxulu,Amahlathi,Eastern Cape,810
599034,Verulam,eThekwini,KwaZulu-Natal,37273
297207,Vuyisile,Mbizana,Eastern Cape,62
270422,Willow,Mbhashe,Eastern Cape,1715
294121,Xongora,King Sabata Dalindyebo,Eastern Cape,428
270212,Zimtshe,Mbhashe,Eastern Cape,124
284047,eGcabalata,Engcobo,Eastern Cape,367
271110,eMasisini,Mnquma,Eastern Cape,441
270565,eNtilini C,Mbhashe,Eastern Cape,249
270638,eZimfeneni,Mbhashe,Eastern Cape,99
660020,Agisaneng,Moretele,North West,119
671005,Amalia,Mamusa,North West,226
272039,Arena,Great Kei,Eastern Cape,63
499041,Balaclava,Mangaung,Free State,222
170001,Barrydale,Swellendam,Western Cape,4156
274102,Bell,Ngqushwa,Eastern Cape,865
291010,Bhakaleni,Port St Johns,Eastern Cape,848
290254,Bhobhoyi,Ngquza Hill,Eastern Cape,323
160004,Bitterfontein,Matzikama,Western Cape,986
976027,Bodutulo,Lepele-Nkumpi,Limpopo,684
589021,Bongela,uMlalazi,KwaZulu-Natal,685
472007,Botjhabelo,Maluti a Phofung,Free State,1080
675006,Bruidegomskraal,Ventersdorp,North West,2292
270185,Bunene,Mbhashe,Eastern Cape,614
276140,Calderwood,Nkonkobe,Eastern Cape,197
292216,Ceka,Nyandeni,Eastern Cape,394
292056,Chophetyeni,Nyandeni,Eastern Cape,3185
524013,Claremont,Newcastle,KwaZulu-Natal,4780
260167,Cosy Corner,Buffalo City,Eastern Cape,111
292084,Dalaguba,Nyandeni,Eastern Cape,1240
162013,De Lust,Bergrivier,Western Cape,684
276176,Dhlawu,Nkonkobe,Eastern Cape,1225
799025,Dilopye,City of Tshwane,Gauteng,3874
985014,Ditabeng,Makhuduthamaga,Limpopo,344
287011,Dolosini,Senqu,Eastern Cape,467
284347,Drayini B,Engcobo,Eastern Cape,282
506049,Dumezulu,Hibiscus Coast,KwaZulu-Natal,1358
281078,Eardley,Lukanji,Eastern Cape,399
560014,Egudwini,Vulamehlo,KwaZulu-Natal,625
504036,Elangeni,UMuziwabantu,KwaZulu-Natal,889
590017,Emahlabathini,Mthonjaneni,KwaZulu-Natal,865
298079,Ematyeni,Ntabankulu,Eastern Cape,973
597030,Emkhubane,Ubuhlebezwe,KwaZulu-Natal,459
284414,Engcotyeni,Engcobo,Eastern Cape,261
297130,Envis,Mbizana,Eastern Cape,60
576047,Esijozini,Msinga,KwaZulu-Natal,2506
562018,Etsheni,uMshwathi,KwaZulu-Natal,1646
542047,Ezindundumeni,Nkandla,KwaZulu-Natal,647
276044,Fernvilla,Nkonkobe,Eastern Cape,527
270514,Fukula,Mbhashe,Eastern Cape,233
970078,Ga-Madiba,Aganang,Limpopo,662
962010,Ga-Modjadji,Greater Tzaneen,Limpopo,1118
970056,Ga-Ramakara,Aganang,Limpopo,653
974063,GaMakgobathe,Polokwane,Limpopo,137
962006,GaMokgwathi,Greater Tzaneen,Limpopo,4599
669012,GaSeane,Ramotshere Moiloa,North West,478
362002,Gamagara NU,Gamagara,Northern Cape,992
293233,Gcaka,Mhlontlo,Eastern Cape,265
297235,Giniswayo,Mbizana,Eastern Cape,685
462008,Goedemoed,Mohokare,Free State,537
571046,Gosheni,Okhahlamba,KwaZulu-Natal,927
284137,Gqutyini C,Engcobo,Eastern Cape,228
381004,Groenwater,Tsantsabane,Northern Cape,739
965067,Gundani,Mutale,Limpopo,306
576038,Gxobanyawo,Msinga,KwaZulu-Natal,1955
276017,Hala,Nkonkobe,Eastern Cape,588
273054,Heckel,Amahlathi,Eastern Cape,609
294171,Hlabatshane A,King Sabata Dalindyebo,Eastern Cape,323
584020,Hluhluwe,The Big 5 False Bay,KwaZulu-Natal,3830
499010,Houtnek,Mangaung,Free State,93
570001,Impembeni,Umtshezi,KwaZulu-Natal,754
546059,Inyezini,Maphumulo,KwaZulu-Natal,148
297076,Izinini B,Mbizana,Eastern Cape,936
271153,Jingqi,Mnquma,Eastern Cape,124
966212,Ka-Jilongo,Thulamela,Limpopo,3117
960004,KaMininginisi,Greater Giyani,Limpopo,6021
281040,Kamastone,Lukanji,Eastern Cape,785
985162,Katlegong,Makhuduthamaga,Limpopo,1574
969114,Kgokonyane,Blouberg,Limpopo,563
167012,Khayamandi,Stellenbosch,Western Cape,24645
968063,Khunda,Makhado,Limpopo,231
364008,Kleinzee Mine,Nama Khoi,Northern Cape,3
876004,Komatipoort,Nkomazi,Mpumalanga,4683
269002,Kou-Kamma NU,Kou-Kamma,Eastern Cape,12201
298103,KuDebeza,Ntabankulu,Eastern Cape,1178
270603,KuLokamisa,Mbhashe,Eastern Cape,317
286156,KuMbulunga,Elundini,Eastern Cape,100
270120,KuNombete,Mbhashe,Eastern Cape,334
285061,KuVayile,Sakhisizwe,Eastern Cape,259
260136,Kuni,Buffalo City,Eastern Cape,2179
270316,KwaBawu,Mbhashe,Eastern Cape,648
290274,KwaDick,Ngquza Hill,Eastern Cape,1405
587002,KwaGcoba,Mfolozi,KwaZulu-Natal,2252
294125,KwaKhonongwane,King Sabata Dalindyebo,Eastern Cape,248
272012,KwaMahomba,Great Kei,Eastern Cape,703
290243,KwaMbhayi,Ngquza Hill,Eastern Cape,1231
276072,KwaMlalandle,Nkonkobe,Eastern Cape,522
276055,KwaNacelwane,Nkonkobe,Eastern Cape,174
270320,KwaNjamatafa,Mbhashe,Eastern Cape,111
270020,KwaNoxabani,Mbhashe,Eastern Cape,217
295253,KwaQili,Matatiele,Eastern Cape,159
290017,KwaSomkhetho,Ngquza Hill,Eastern Cape,274
869012,KwaZamokuhle,Steve Tshwete,Mpumalanga,20427
583075,Kwaqondile,Jozini,KwaZulu-Natal,1330
760003,Lakeside,Emfuleni,Gauteng,7843
172001,Lebanon,Overstrand,Western Cape,74
987113,Lekgwabeng,Greater Tubatse,Limpopo,1641
661029,Lerulaneng,Madibeng,North West,3633
294081,Lindini,King Sabata Dalindyebo,Eastern Cape,1908
672016,Loselong,Greater Taung,North West,799
294241,Lower Ngqwarha,King Sabata Dalindyebo,Eastern Cape,1772
297183,Ludeke A,Mbizana,Eastern Cape,294
860019,Lukwatini,Albert Luthuli,Mpumalanga,13149
298148,Lutambeko,Ntabankulu,Eastern Cape,840
876008,M'hati,Nkomazi,Mpumalanga,472
284147,Mabhulwini,Engcobo,Eastern Cape,211
294455,Macelweni,King Sabata Dalindyebo,Eastern Cape,817
661027,Madidi,Madibeng,North West,7444
877077,Madyembeni,Bushbuckridge,Mpumalanga,7210
271159,Magalakangqa,Mnquma,Eastern Cape,1154
582079,Magovini,Umhlabuyalingana,KwaZulu-Natal,430
961006,Mahembeni,Greater Letaba,Limpopo,1970
966025,Mahunguhwi,Thulamela,Limpopo,394
974086,Makanye,Polokwane,Limpopo,9536
586017,Makhambane,Mtubatuba,KwaZulu-Natal,4016
295052,Makomereng,Matatiele,Eastern Cape,339
966087,Malavuwe,Thulamela,Limpopo,2362
672017,Mamashokwane,Greater Taung,North West,542
666021,Manamolele,Tswaing,North West,7695
987125,Mangabane,Greater Tubatse,Limpopo,753
664021,Mankaipaya,Moses Kotane,North West,502
597061,Mantulela,Ubuhlebezwe,KwaZulu-Natal,456
877023,Mapaleng B,Bushbuckridge,Mpumalanga,836
286040,Maqhatseng,Elundini,Eastern Cape,432
984025,Maratheng,Elias Motsoaledi,Limpopo,1944
970080,Mars,Aganang,Limpopo,1
270564,Maseti,Mbhashe,Eastern Cape,466
984043,Masoyeng,Elias Motsoaledi,Limpopo,521
985033,Mathibeng,Makhuduthamaga,Limpopo,1392
669033,Matlhase,Ramotshere Moiloa,North West,756
872042,Matshiding,Dr JS Moroka,Mpumalanga,5484
965109,Mavhuwa,Mutale,Limpopo,351
282127,Mayireni A,Intsika Yethu,Eastern Cape,622
294379,Mbanyaru,King Sabata Dalindyebo,Eastern Cape,549
542033,Mbiswe,Nkandla,KwaZulu-Natal,983
567013,Mboyi,Mkhambathini,KwaZulu-Natal,1274
297287,Mcijweni,Mbizana,Eastern Cape,611
286086,Mdlokovana,Elundini,Eastern Cape,423
499018,Merino,Mangaung,Free State,382
293083,Mfundisweni,Mhlontlo,Eastern Cape,358
294280,Mgqumo,King Sabata Dalindyebo,Eastern Cape,1144
290019,Mhlanjeni,Ngquza Hill,Eastern Cape,737
671001,Migdol,Mamusa,North West,3526
583016,Mkhanyeni,Jozini,KwaZulu-Natal,843
871005,Mkobola,Thembisile,Mpumalanga,9166
982014,Mmakala,Mogalakwena,Limpopo,316
598018,Mncweba,Umzimkhulu,KwaZulu-Natal,360
271413,Mnyama,Mnquma,Eastern Cape,329
360037,Mogobing,Joe Morolong,Northern Cape,132
976078,Mokgophong,Lepele-Nkumpi,Limpopo,3706
962098,Moname,Greater Tzaneen,Limpopo,652
475002,Moqhaka NU,Moqhaka,Free State,21354
961092,Moshate Head Kraal,Greater Letaba,Limpopo,602
985116,Motsiphiri,Makhuduthamaga,Limpopo,429
298003,Mpelazwe,Ntabankulu,Eastern Cape,353
296209,Mpindweni A,Umzimvubu,Eastern Cape,503
270540,Mpume,Mbhashe,Eastern Cape,270
292136,Mqunga,Nyandeni,Eastern Cape,793
294381,Msukeni,King Sabata Dalindyebo,Eastern Cape,348
294334,Mthuthukeni,King Sabata Dalindyebo,Eastern Cape,929
274008,Mtyinweni,Ngqushwa,Eastern Cape,318
506018,Murchison,Hibiscus Coast,KwaZulu-Natal,7352
506042,Mvutshini,Hibiscus Coast,KwaZulu-Natal,4439
296159,Mzinto,Umzimvubu,Eastern Cape,1844
179003,Nature's Valley,Bitou,Western Cape,460
295175,Ncome,Matatiele,Eastern Cape,186
298036,Ndikini,Ntabankulu,Eastern Cape,331
281001,Ndumangeni,Lukanji,Eastern Cape,109
599020,New Glasgow,eThekwini,KwaZulu-Natal,2101
291198,Ngcande,Port St Johns,Eastern Cape,562
966157,Nghomunghom,Thulamela,Limpopo,1799
271396,Ngqanda,Mnquma,Eastern Cape,485
284331,Ngquru,Engcobo,Eastern Cape,318
276032,Ngwangwane,Nkonkobe,Eastern Cape,28
286034,Ngxazana,Elundini,Eastern Cape,298
577018,Nietgedocht,Umvoti,KwaZulu-Natal,1613
874007,Nkambeni,Mbombela,Mpumalanga,7801
571043,Nkomanzana,Okhahlamba,KwaZulu-Natal,1720
295233,Nkungwini A,Matatiele,Eastern Cape,439
297245,Nokogqo,Mbizana,Eastern Cape,217
291103,Nonjonjo,Port St Johns,Eastern Cape,194
282129,Noxweba,Intsika Yethu,Eastern Cape,242
291207,Nqutyana,Port St Johns,Eastern Cape,495
282212,Ntabeni B,Intsika Yethu,Eastern Cape,79
271246,Ntilini A,Mnquma,Eastern Cape,341
546038,Ntombiyahlulinina,Maphumulo,KwaZulu-Natal,2714
599127,Ntshongweni A,eThekwini,KwaZulu-Natal,568
294211,Ntuwe,King Sabata Dalindyebo,Eastern Cape,330
282115,Nyalasa,Intsika Yethu,Eastern Cape,179
282163,Nyongwana,Intsika Yethu,Eastern Cape,144
580011,Ogedleni,Nongoma,KwaZulu-Natal,797
569039,Oqungweni,Indaka,KwaZulu-Natal,2194
379003,Paballelo,//Khara Hais,Northern Cape,17614
799039,Pebble Rock Golf Village,City of Tshwane,Gauteng,357
542012,Phambana,Nkandla,KwaZulu-Natal,508
599051,Phoenix,eThekwini,KwaZulu-Natal,176989
862009,Piet Retief,Mkhondo,Mpumalanga,57428
798040,Poortjie,City of Johannesburg,Gauteng,11153
672015,Pudumoe,Greater Taung,North West,4092
295168,Qhitsi,Matatiele,Eastern Cape,780
582099,Qondweni,Umhlabuyalingana,KwaZulu-Natal,2199
504038,Qwebela,UMuziwabantu,KwaZulu-Natal,1562
664022,Rampampaspoort,Moses Kotane,North West,326
294135,Relegwini,King Sabata Dalindyebo,Eastern Cape,308
294454,Rini,King Sabata Dalindyebo,Eastern Cape,1336
287046,Rooiwal,Senqu,Eastern Cape,634
281067,Sada,Lukanji,Eastern Cape,13493
588050,Sangweyana,Ntambanana,KwaZulu-Natal,2248
284183,Sdadeni,Engcobo,Eastern Cape,1053
985008,Sekale,Makhuduthamaga,Limpopo,807
598146,Senti,Umzimkhulu,KwaZulu-Natal,1085
974073,Setotolwane,Polokwane,Limpopo,2271
586019,ShikiShela,Mtubatuba,KwaZulu-Natal,6905
571047,Sibotsheni,Okhahlamba,KwaZulu-Natal,504
575044,Sigqobheleni,Nqutu,KwaZulu-Natal,315
294429,Sikoba,King Sabata Dalindyebo,Eastern Cape,483
292200,Sinwandweni,Nyandeni,Eastern Cape,401
296066,Sisulwini,Umzimvubu,Eastern Cape,245
869011,Sizanane,Steve Tshwete,Mpumalanga,1155
562023,Solhem,uMshwathi,KwaZulu-Natal,200
287008,Sqitini,Senqu,Eastern Cape,425
478005,Stokkies Draai,Metsimaholo,Free State,3
542142,Swane,Nkandla,KwaZulu-Natal,1369
270231,Talemofu,Mbhashe,Eastern Cape,241
295095,Tereseng,Matatiele,Eastern Cape,31
295230,Thamsanga,Matatiele,Eastern Cape,285
472024,Theosane,Maluti a Phofung,Free State,1541
877069,Thulamahashe,Bushbuckridge,Mpumalanga,13333
974016,Titibe,Polokwane,Limpopo,3380
505003,Tonjeni,Ezingoleni,KwaZulu-Natal,277
291121,Tshakude,Port St Johns,Eastern Cape,177
966038,Tshifudi,Thulamela,Limpopo,2343
965069,Tshitambe,Mutale,Limpopo,267
986010,Tsimeng,Fetakgomo,Limpopo,2323
270260,Tunzini,Mbhashe,Eastern Cape,87
286214,Ugie,Elundini,Eastern Cape,13467
546064,Umvoti,Maphumulo,KwaZulu-Natal,760
273062,Upper Mnyameni,Amahlathi,Eastern Cape,893
799014,Vastfontein,City of Tshwane,Gauteng,837
580139,Vimbisikhala,Nongoma,KwaZulu-Natal,579
283017,Vukani,Emalahleni,Eastern Cape,889
574008,Wasbank,Endumeni,KwaZulu-Natal,1323
599012,Westbrook,eThekwini,KwaZulu-Natal,1526
276053,Woburn,Nkonkobe,Eastern Cape,100
270238,Xhiba,Mbhashe,Eastern Cape,222
499042,Yorksford,Mangaung,Free State,313
580076,Zihlakaniphele,Nongoma,KwaZulu-Natal,457
283055,Zisoyini,Emalahleni,Eastern Cape,569
270486,eBakaneni,Mbhashe,Eastern Cape,930
